"","group","s__Actinomyces_graevenitzii","s__Rothia_mucilaginosa","s__Collinsella_aerofaciens","s__Bacteroides_coprocola","s__Bacteroides_dorei","s__Bacteroides_plebeius","s__Butyricimonas_synergistica","s__Parabacteroides_goldsteinii","s__Porphyromonas_gingivalis","s__Alloprevotella_unclassified","s__Paraprevotella_clara","s__Prevotella_copri","s__Prevotella_histicola","s__Prevotella_melaninogenica","s__Prevotella_pallens","s__Gemella_haemolysans","s__Lactobacillus_crispatus","s__Lactobacillus_salivarius","s__Streptococcus_downei","s__Clostridium_asparagiforme","s__Pseudoflavonifractor_capillosus","s__Eubacterium_limosum","s__Coprococcus_eutactus","s__Oribacterium_sinus","s__Catenibacterium_mitsuokai","s__Erysipelotrichaceae_bacterium_2_2_44A","s__Anaeroglobus_geminatus","s__Megamonas_funiformis","s__Fusobacterium_mortiferum","s__Sutterella_wadsworthensis","s__Aeromonas_veronii","s__Klebsiella_unclassified","s__Aggregatibacter_aphrophilus","cluster"
"29","0",0,0,0.36782,0,0.15292,6.79699,0,0,0,0,0,15.58325,0,0,0,0,0,0,0,0,0,0,0.42478,0,1.11989,0,0,0,0,0,0,0,0,1
"30","0",0,0,1.50469,0.02967,0.03033,0.02332,0,0,0,0,0.17543,34.29351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14304,0,0,0,1
"31","0",0.01027,0,0.10594,0.28467,0.01376,0.37304,0,0,0,0,1.00978,6.38233,0,0,0,0,0,0,0,0,0.00703,0,0,0,13.18942,0,0,0,0,0.07536,0,0,0,1
"32","0",0,0.03783,6.81255,0,0.21549,0.00902,0,0,0,0,0,8.55394,0,0,0,0,0,0,0,0.00524,0,0,0,0,0,0,0,0,0,0.00319,0,0,0,1
"33","0",0,0.00157,0.33356,0,0.60845,0,0,0,0,0,0,29.26899,0,0,0,0,0,0,0,0,0.00454,0,0,0,0,0,0,0,0,0.18544,0,0,0,2
"34","0",0,0,0,0,0.1384,0,0,0.61992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"35","0",0,0,0.01296,0,0.49177,0,0,0,0,0,0,0.01713,0,0,0,0,0,0,0,0,0,0,0.17563,0,0,0,0,0,0,0.14872,0,0,0,2
"36","1",0,0,0.54686,0,0.34686,0,0,0,0,0,0,11.27365,0,0,0,0,0,0,0,0.01113,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"37","0",0,0,1.12902,0,1.41397,0,0,0,0,0,0,0.23014,0,0,0,0,0,0,0,0,0,0,0,0,0.02112,0,0,0,0,0,0,0,0,2
"38","1",0.01197,0.03232,0.4454,0,0.04019,0,0,0.86304,0.00689,0,0,0,0,0,0,0,0,0,0,0.00807,0.00444,0,0,0.00328,0,0,0,0,0,0.08757,0,0,0,2
"39","0",0.00115,0.01548,0.28098,0,0.81126,0.00338,0,0,0,0,0.22662,0.04767,0,0,0,0,0,0,0,0.00782,0.01695,0,0,0,0,0,0,0,0,0.09191,0,0.00352,0,1
"40","1",0,0.00267,1.54102,0,0.00699,0,0,0,0,0,0.61655,0.0049,0,0,0,0,0,0,0,0.01382,0.02094,0,0,0,0,0.00328,0,0,0,0,0,0,0,2
"41","0",0,0.01637,0.59549,0,1.60706,0,0,0,0,0,0.34799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"42","0",0,0,0,0,11.43246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624,0,0,0,0,0,0.05372,0,0,0,0.72986,0,0,0,2
"43","0",0,0.00677,0.22245,0.03749,0.12984,5.32979,0,0,0,0.00308,0,0,0,0,0,0,0,0,0,0,0,0,1.45404,0,0.69461,0,0,0,0,0.1819,0,0,0,1
"44","0",0,0.01039,0.60831,0,0,0,0,0,0,0,0,2.89967,0,0,0,0,0,0,0,0,0,0,0,0,13.45087,0,0,0,0,0,0,0,0,1
"45","1",0,0.01549,0.01055,0.44502,0.00385,0,0,0,0,0,0,0,0,0,0,0.00914,0,0,0,0.10921,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"46","0",0,0.01257,0.22136,0,0.59988,0.36404,0,0,0,0,0.11937,20.31732,0,0,0,0,0,0,0,0,0,0,0.00673,0,0,0,0,0,0,0.17281,0,0.0832,0,1
"47","0",0,0.00999,0.97399,0,0.2614,0,0,0,0,0,0.38756,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14138,0,0,0,0,0.84989,0,0,0,1
"48","1",0.00059,0.00341,2.18444,0,0.37407,0,0.00614,0.06481,0,0,0,0,0,0,0,0,0,0,0,0.01164,0.01131,0.00586,0,0.00826,0.99201,0,0,0,0,0,0,0,0,2
"49","1",0,0.02083,2.16509,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
